subj,item,condition,order,complexity,constituent,position,Q,RT
8,18,a,TSV,RC,Main-V2,21,-,455
8,18,a,TSV,RC,,?,1,2094
8,22,a,TSV,RC,comma,11,-,424
8,22,a,TSV,RC,DCL,12,-,518
8,22,a,TSV,RC,DP,13,-,409
8,22,a,TSV,RC,RC-V1,14,-,454
8,22,a,TSV,RC,RC-V2,15,-,429
8,22,a,TSV,RC,DE,16,-,444
8,22,a,TSV,RC,HN,17,-,365
8,22,a,TSV,RC,ADV,18,-,385
8,22,a,TSV,RC,quantifier,19,-,390
8,22,a,TSV,RC,Main-V1,20,-,434
8,22,a,TSV,RC,Main-V2,21,-,516
8,22,a,TSV,RC,,?,1,2656
9,1,a,TSV,RC,comma,11,-,244
9,1,a,TSV,RC,DCL,12,-,370
9,1,a,TSV,RC,DP,13,-,298
9,1,a,TSV,RC,RC-V1,14,-,349
9,1,a,TSV,RC,RC-V2,15,-,369
9,1,a,TSV,RC,DE,16,-,306
9,1,a,TSV,RC,HN,17,-,264
9,1,a,TSV,RC,ADV,18,-,326
9,1,a,TSV,RC,quantifier,19,-,305
9,1,a,TSV,RC,Main-V1,20,-,359
9,1,a,TSV,RC,Main-V2,21,-,1979
9,1,a,TSV,RC,,?,1,4410
9,5,a,TSV,RC,comma,11,-,420
9,5,a,TSV,RC,DCL,12,-,881
9,5,a,TSV,RC,DP,13,-,484
9,5,a,TSV,RC,RC-V1,14,-,970
9,5,a,TSV,RC,RC-V2,15,-,325
9,5,a,TSV,RC,DE,16,-,250
